Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta4
P3RRRPR2G1P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G1P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G2P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G2P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G2P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G3P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G3P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G4P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G4P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G9P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G9P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G9P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
