Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG
P3RRRRR10V2G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR10V2G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P3RRRRR10V2G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2
P3RRRRR10V2G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR10V2G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P3RRRRR10V2G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
P3RRRRR10V2G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR10V2G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P3RRRRR10V2G3P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
