Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RPRRR2V1G1P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR2V1G1P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR2V1G1P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR2V1G2P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR2V1G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR2V1G2P9A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR2V1G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR2V1G3P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR2V1G4P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR2V1G9P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR2V1G9P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
